time,ID_PRODUCTO,COD_CLIENTE,FECHA_REAL,VALOR_VENTA,VALOR_FINANCIADO
26,3393410,323584, 24/04/2015,919999,919999
24,4288579,265601, 22/04/2015,400000,400000
20,582220,484891, 18/04/2015,505999,505999
19,4287006,197649, 17/04/2015,614000,614000
26,4287166,483334, 24/04/2015,1118000,1118000
23,4001518,478278, 21/04/2015,928000,928000
26,3990482,187122, 24/04/2015,860000,860000
25,4288707,221338, 23/04/2015,1000000,0
25,4288707,221338, 23/04/2015,399999,1399999
22,4288875,153908, 20/04/2015,495000,0
22,4288875,153908, 20/04/2015,495000,990000
13,4284633,462209, 11/04/2015,1109999,0
13,4284633,462209, 11/04/2015,190000,1299999
20,4287210,134180, 18/04/2015,704999,704999
26,4289696,334753, 24/04/2015,359900,0
26,4289696,334753, 24/04/2015,59600,419500
26,3237678,466548, 24/04/2015,905999,905999
26,3789725,203963, 24/04/2015,759000,0
26,3789725,203963, 24/04/2015,106720,865720
25,3905817,303928, 23/04/2015,478000,478000
19,3059671,277180, 17/04/2015,517999,517999
22,4287915,220296, 20/04/2015,760000,760000
24,4288557,135017, 22/04/2015,707999,707999
26,4289689,243856, 24/04/2015,799900,0
26,4289689,243856, 24/04/2015,59900,0
26,4289689,243856, 24/04/2015,79000,0
26,4289689,243856, 24/04/2015,149900,0
26,4289689,243856, 24/04/2015,149900,1238601
20,4287139,222666, 18/04/2015,640000,640000
26,3706748,377071, 24/04/2015,1017472,1017472
26,3669926,302013, 24/04/2015,576000,0
26,3669926,302013, 24/04/2015,42000,618000
20,4287253,86202, 18/04/2015,380000,380000
26,3995066,447379, 24/04/2015,908000,908000
20,4287233,85910, 18/04/2015,379000,379000
22,4035509,307760, 20/04/2015,1230000,1230000
20,4287223,86211, 18/04/2015,384999,384999
18,4285984,190489, 16/04/2015,659999,659999
26,4289681,434403, 24/04/2015,457500,457500
20,4287250,78854, 18/04/2015,712000,712000
26,671808,617794, 24/04/2015,145000,145000
16,4287991,169088, 14/04/2015,360000,360000
18,3959602,441281, 16/04/2015,459999,459999
26,4289633,351441, 24/04/2015,1400000,1400000
18,4287290,58431, 16/04/2015,661999,661999
26,4289607,789693, 24/04/2015,1400000,1400000
10,4286962,784363, 08/04/2015,949999,949999
26,3683589,441372, 24/04/2015,687759,687759
10,3730054,240061, 08/04/2015,1199999,0
10,3730054,240061, 08/04/2015,180000,1379999
10,4284238,264392, 08/04/2015,780000,0
10,4284238,264392, 08/04/2015,506000,1286000
19,4287298,242826, 17/04/2015,1221500,1221500
26,4289670,244145, 24/04/2015,650000,0
26,4289670,244145, 24/04/2015,750000,1400000
18,3295092,282399, 16/04/2015,514999,514999
15,4287140,284036, 13/04/2015,480000,480000
19,4286991,116827, 17/04/2015,659999,659999
25,4288866,786936, 23/04/2015,20000,0
25,4288866,786936, 23/04/2015,1306501,1326501
18,4287037,786703, 16/04/2015,480000,480000
25,4288861,223665, 23/04/2015,20000,0
25,4288861,223665, 23/04/2015,975000,995000
25,3674433,314338, 23/04/2015,15000,0
25,3674433,314338, 23/04/2015,484500,499500
19,3290204,250671, 17/04/2015,359999,325999
18,4286008,467678, 16/04/2015,670000,0
18,4286008,467678, 16/04/2015,450000,0
18,4286008,467678, 16/04/2015,180000,1300000
25,4288706,667800, 23/04/2015,25000,0
25,4288706,667800, 23/04/2015,930010,955010
18,3893262,244759, 16/04/2015,1015000,1015000
24,3911086,245576, 22/04/2015,20000,0
24,3911086,245576, 22/04/2015,228401,248401
20,4287242,58210, 18/04/2015,308000,308000
25,4288698,269400, 23/04/2015,20000,0
25,4288698,269400, 23/04/2015,1365448,1385448
15,4286844,213897, 13/04/2015,988700,988700
18,4286037,132866, 16/04/2015,480000,480000
20,4287245,276871, 18/04/2015,613000,613000
-3,4282951,239564, 26/03/2015,398999,398999
18,3290204,250671, 16/04/2015,514001,0
18,3290204,250671, 16/04/2015,275000,789001
26,3928534,409327, 24/04/2015,839528,839528
16,4286979,244754, 14/04/2015,506000,506000
26,4289665,483550, 24/04/2015,1300000,1300000
20,4287286,785645, 18/04/2015,1259999,0
20,4287286,785645, 18/04/2015,109999,1369998
18,3039654,282631, 16/04/2015,1250000,1250000
26,4289666,337674, 24/04/2015,969980,0
26,4289666,337674, 24/04/2015,430020,1400000
15,4286966,244255, 13/04/2015,1300000,1300000
17,4286957,250423, 15/04/2015,359999,359999
23,4287999,520647, 21/04/2015,1600000,1600000
17,4286855,235698, 15/04/2015,643000,643000
20,4287311,173803, 18/04/2015,400999,400999
18,4286947,112513, 16/04/2015,516850,516850
15,4063530,244641, 13/04/2015,505999,505999
3,3024343,293557, 01/04/2015,1300000,1300000
11,4233976,202591, 09/04/2015,194999,194999
20,4287325,543016, 18/04/2015,262000,0
20,4287325,543016, 18/04/2015,265000,527000
19,563143,472340, 17/04/2015,1000000,0
19,563143,472340, 17/04/2015,299999,1299999
26,3200778,589364, 24/04/2015,1384200,1384200
11,4283836,59176, 09/04/2015,1228999,1228999
23,4288199,161026, 21/04/2015,745000,745000
20,4287293,203395, 18/04/2015,1000000,0
20,4287293,203395, 18/04/2015,299999,1299999
26,3222548,434888, 24/04/2015,368600,368600
12,3129719,486684, 10/04/2015,1399999,1399999
17,4201937,230895, 15/04/2015,576000,576000
24,4288539,443654, 22/04/2015,1169999,1169999
11,582878,604144, 09/04/2015,1181999,1181999
